,Region,Country,Code,GAVI2004,GAVI2005,GAVI2006,GAVI2007,GAVI2008,GAVI2009,GAVI2010,GAVI2011,GAVI2012,GAVI2013,GAVI2014,GAVI2015,GAVI2016,GAVI2017,GAVI2018,GAVI2019,Pol3GAVI,Pol3GAVIa,DPT3GAVI,DPT3GAVIa,Polio,DPT3,VA,PS,RL,RQ,GE,CC,Importance,Safety,Effectiveness,GNI
99,EMR,Lebanon,LBN,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,81,83,0.49,1.64,0.86,0.43,0.83,1.16,NA,0.0335,0.0111,7323.333333
100,AFR,Lesotho,LSO,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,87,87,0.03,0.35,0.38,0.54,0.83,0.03,NA,NA,NA,1256.666667
101,AFR,Liberia,LBR,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,74,74,0.03,0.23,1,0.98,1.38,0.88,0.0203,0.0251,0.2759,623.3333333
102,EMR,Libya,LBY,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,73,73,1.46,2.57,1.85,2.35,1.92,1.6,0.0566,0.0903,0.0557,5216.666667
103,EUR,Lithuania,LTU,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,92,92,1.02,0.84,1.02,1.16,1.04,0.68,0.0424,0.0828,0.0417,15113.33333
104,EUR,Luxembourg,LUX,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,99,99,1.52,1.36,1.79,1.7,1.73,2.11,0.0462,0.1237,0.0691,69173.33333
105,AFR,Madagascar,MDG,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,80,79,0.22,0.25,1.01,0.73,1.14,1.01,0.0228,0.104,0.0499,476.6666667
106,AFR,Malawi,MWI,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,94,95,0.09,0.27,0.33,0.7,0.75,0.78,0.0092,0.0384,0.0167,353.3333333
107,WPR,Malaysia,MYS,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,98,98,0.04,0.11,0.59,0.67,1,0.25,0.0312,0.028,0.0409,10260
108,SEAR,Maldives,MDV,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,99,99,0.44,0.01,0.41,0.48,0.19,0.26,NA,NA,NA,8106.666667
109,AFR,Mali,MLI,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,72,77,0.41,2.15,0.83,0.57,1.06,0.7,0.0223,0.1714,0.0469,783.3333333
110,EUR,Malta,MLT,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,97,98,1.11,1.09,0.95,0.96,0.86,0.24,0.0201,0.0625,0.0524,24320
111,WPR,Marshall Islands,MHL,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,78,79,1.14,0.86,0.03,1.12,1.47,0.04,NA,NA,NA,4280
112,AFR,Mauritania,MRT,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,81,81,0.78,0.54,0.58,0.76,0.5,0.86,0.0183,0.0962,0.0522,1550
113,AFR,Mauritius,MUS,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,97,96,0.81,0.82,0.76,1,0.87,0.32,0.0175,0.1702,0.0543,10773.33333
